date,r1,r3,r6,r12,haa_13612u,regime,slope_haa,accel_haa
2025-11-14,-0.007058836423189052,0.01644262685135356,0.03477691665933036,0.0619762486515294,0.02814863807433393,Risk-On,-0.02150954297086949,-0.019031358018864353
2025-11-21,-0.005349069527449735,0.011649931082530873,0.040357367789218834,0.06219722397656491,0.031330712388932314,Risk-On,0.003182074314598382,0.02469161728546787
2025-11-28,0.0016313051663308098,0.009641945806553753,0.03564237762541578,0.05977819295609921,0.04730159835727887,Risk-On,0.01597088596834656,0.012788811653748178
2025-12-05,0.0017234395313487916,-0.003232541873902761,0.04012178965197899,0.051332465941563266,0.034831788031523925,Risk-On,-0.012469810325754949,-0.02844069629410151
2025-12-12,-0.0052196572423173215,-0.0060185965633998695,0.03298410450445188,0.04894834227235445,0.00705156952996272,Weak Risk-On,-0.027780218501561205,-0.015310408175806256
2025-12-19,-0.0009808391494776636,-9.946216515932527e-05,0.026095187134979714,0.05909244000497704,0.0247787239551418,Weak Risk-On,0.01772715442517908,0.045507372926740286
2025-12-26,-0.005013986514848301,0.0014416160919912269,0.023565973188484746,0.07051456221854613,0.01581128369632523,Risk-On,-0.008967440258816572,-0.026694594683995654
2026-01-02,-0.002975872503934829,-0.0026058398118768977,0.021994642893319094,0.0658614755843363,0.01592923301906224,Weak Risk-On,0.00011794932273700987,0.009085389581553582
2026-01-09,0.003924615236514217,0.0007495600213827114,0.025252800396827313,0.07258551893588061,0.04329618566330917,Risk-On,0.027366952644246934,0.027249003321509924
2026-01-16,0.0017388560620299476,-0.00766937770051912,0.020310946890004233,0.06422130662078351,0.023757990585768718,Risk-On,-0.019538195077540454,-0.04690514772178739
2026-01-23,0.004099032262979696,-0.008433519273289725,0.021979077480215103,0.06485929234568677,0.031067939342178608,Risk-On,0.00730994875640989,0.026848143833950344
2026-01-30,0.003178115843501139,0.0005929095393835127,0.02485721569526156,0.06054353878883845,0.03769174961472732,Risk-On,0.006623810272548714,-0.0006861384838611762
2026-02-06,0.0038096024654670213,0.006834967797759717,0.017192308515147747,0.05163848405070315,0.03976955046441044,Risk-On,0.00207780084968312,-0.004546009422865593
2026-02-13,0.008967356093660506,0.008369765673275076,0.025388539203867744,0.06937811329673127,0.06531063188037328,Risk-On,0.02554108141596284,0.02346328056627972
2026-02-20,0.009716635567375898,0.00910183455249891,0.024476750703619654,0.060865060767571144,0.06570638179832922,Risk-On,0.0003957499179559343,-0.025145331498006906
2026-02-27,0.013038787791322726,0.011531419935870035,0.020916962652024917,0.05548091546458234,0.07497649350199626,Risk-On,0.009270111703667039,0.008874361785711105
2026-03-06,0.01070297116930119,0.008990275972672546,0.015278640873577887,0.05142719642444482,0.06159530902347626,Risk-On,-0.013381184478519992,-0.02265129618218703
2026-03-13,-0.0009023184714246346,0.005466047986681488,0.0010507674497812758,0.04625499745280526,0.014848225660499537,Risk-On,-0.04674708336297673,-0.033365898884456735
2026-03-20,-0.009258285366798291,0.002468090890217267,-0.0005195934749877562,0.03585503716021443,-0.016602802657617877,Risk-Off,-0.03145102831811741,0.015296055044859314
2026-03-27,-0.018261552730291064,-0.0035433953736989654,-0.0018367074046682363,0.03321904448136781,-0.05094164614656432,Risk-Off,-0.03433884348894645,-0.0028878151708290334
2026-04-02,-0.003955080386397136,0.008188440302520528,0.00556670280423055,0.031755309559168055,0.007045377935236408,Risk-On,0.05798702408180073,0.09232586757074718
2026-04-10,-0.000450174134345227,0.008997510786686869,0.007200940425811764,0.04746179321514554,0.023112906900343455,Risk-On,0.016067528965107047,-0.041919495116693684
2026-04-17,0.00215749095229123,0.011339973364952849,0.007841033080111748,0.056843670257463286,0.035943880326248234,Risk-On,0.01283097342590478,-0.0032365555392022682
2026-04-24,0.014887501241812817,0.014242985931240737,0.005689348161590502,0.052985574642190114,0.07499655739802197,Risk-On,0.039052677071773734,0.026221703645868955
2026-05-01,0.014070060816666174,0.012968575917726044,0.013569174649483484,0.04136331535000659,0.07230417452996796,Risk-On,-0.0026923828680540107,-0.041745059939827744
2026-05-08,0.009039572609587099,0.01168359227952509,0.01859841705427745,0.04768912934542269,0.06002380097178078,Risk-On,-0.012280373558187174,-0.009587990690133164
2026-05-15,-0.0001886178829478835,-0.0019838027457173,0.006369358963434157,0.04976168374045398,0.013075444022269622,Weak Risk-On,-0.04694835694951116,-0.03466798339132399
2026-05-22,-0.005665854204465526,-0.0031640613451289212,0.008086760671877746,0.04990393697482953,-0.0036422593788792423,Risk-Off,-0.016717703401148865,0.030230653548362296
2026-05-29,0.0034299684550853637,-0.000964777646609738,0.010555517033072448,0.05312399149129976,0.027883884108007517,Risk-On,0.03152614348688676,0.048243846888035624
2026-06-05,-0.005667422723271698,-0.003153075964425489,0.005808852985164092,0.04062311113680206,-0.0070951398574580216,Risk-Off,-0.03497902396546554,-0.0665051674523523
2026-06-12,-0.002121547751356645,0.006635949298525068,0.012138269702509419,0.04905831963172824,0.018605020803641903,Risk-On,0.025700160661099924,0.06067918462656546
2026-06-18,0.005010396319254484,0.0009989458766905823,0.012673950263716538,0.04147899521763354,0.03273685877072069,Risk-On,0.014131837967078786,-0.011568322694021138
2026-06-26,0.0008594762370643938,0.016182306215143605,0.015534691320596483,0.03909280752470767,0.036301282467811946,Risk-On,0.003564423697091257,-0.01056741426998753
2026-07-02,-0.005296017140781539,0.0077794827991639615,0.009884191748448234,0.03236719504719243,0.004925326012841569,Risk-On,-0.03137595645497038,-0.034940380152061634
2026-07-10,-0.001229085963680654,0.000479561977305476,0.006922568189207334,0.031025569323495095,0.008009980511740955,Risk-On,0.0030846544988993863,0.034460610953869764
2026-07-17,-0.003945037999546042,-0.00029733217816085844,0.0068562716567868165,0.03292625459528087,-0.000472746699585358,Risk-Off,-0.008482727211326313,-0.0115673817102257
2026-07-24,-0.007048184017325099,-0.01078779602330826,0.0032398219163041198,0.02399029451096224,-0.024314863489390937,Risk-Off,-0.02384211678980558,-0.015359389578479266
2026-07-31,-0.004992190998055812,-0.009502665523246967,-0.00018212232694780894,0.023361954353197767,-0.018729811092588866,Risk-Off,0.0055850523968020704,0.02942716918660765
2026-08-07,-0.0023518871571835964,-0.007610502683198184,0.001645145087780131,0.018960244825933614,-0.009103530404375504,Risk-Off,0.009626280688213362,0.004041228291411292
2026-08-14,-0.0018055687338648374,-0.00826603326087616,-0.00540398807426079,0.015525819869466106,-0.01250327853223454,Risk-Off,-0.003399748127859037,-0.0130260288160724
2026-08-21,0.00396394987038029,-0.0012100644758373802,-0.003565147644586264,0.020824339828915184,0.014105296270239154,Risk-On,0.026608574802473695,0.03000832293033273
2026-08-28,-0.00014202325429268914,-0.010512183856375423,-0.011466819582983456,0.009210292032086675,-0.01436909040272355,Risk-Off,-0.028474386672962704,-0.0550829614754364
2026-09-04,0.0009357019888751594,-0.004055939992630875,-0.007196227270152344,0.007972465031320208,-0.0028538314032515166,Risk-Off,0.011515258999472033,0.03998964567243474
