date,universe_count,breakout_count,breadth_pct,breadth_5dma,slope,acceleration
2025-09-12,347,80,0.23054755043227665,0.1659942363112392,0.030547550432276638,0.006916426512968268
2025-09-15,347,81,0.2334293948126801,0.192507204610951,0.02651296829971181,-0.004034582132564829
2025-09-16,348,59,0.16954022988505746,0.1987495445360893,0.006242339925138313,-0.020270628374573496
2025-09-17,348,29,0.08333333333333333,0.18083407863791448,-0.01791546589817483,-0.024157805823313144
2025-09-18,348,44,0.12643678160919541,0.1686574580145086,-0.012176620623405882,0.00573884527476895
2025-09-19,348,44,0.12643678160919541,0.14783530424989236,-0.02082215376461624,-0.00864553314121036
2025-09-22,348,37,0.10632183908045977,0.12241379310344828,-0.025421511146444073,-0.004599357381827832
2025-09-23,348,32,0.09195402298850575,0.10689655172413795,-0.015517241379310334,0.009904269767133739
2025-09-24,348,15,0.04310344827586207,0.09885057471264368,-0.008045977011494274,0.007471264367816061
2025-09-25,348,13,0.03735632183908046,0.0810344827586207,-0.017816091954022978,-0.009770114942528704
2025-09-26,348,3,0.008620689655172414,0.05747126436781609,-0.023563218390804608,-0.00574712643678163
2025-09-29,348,8,0.022988505747126436,0.04080459770114943,-0.016666666666666663,0.006896551724137945
2025-09-30,348,6,0.017241379310344827,0.025862068965517244,-0.014942528735632184,0.0017241379310344793
2025-10-01,348,4,0.011494252873563218,0.01954022988505747,-0.0063218390804597735,0.00862068965517241
2025-10-02,348,11,0.031609195402298854,0.01839080459770115,-0.0011494252873563218,0.005172413793103452
2025-10-10,348,32,0.09195402298850575,0.03505747126436781,0.016666666666666663,0.017816091954022985
2025-10-13,348,31,0.08908045977011494,0.04827586206896552,0.013218390804597704,-0.0034482758620689585
2025-10-14,348,19,0.05459770114942529,0.05574712643678161,0.007471264367816095,-0.005747126436781609
2025-10-15,348,37,0.10632183908045977,0.07471264367816091,0.0189655172413793,0.011494252873563204
2025-10-16,348,52,0.14942528735632185,0.09827586206896552,0.023563218390804608,0.004597701149425308
2025-10-17,348,49,0.14080459770114942,0.10804597701149425,0.009770114942528732,-0.013793103448275876
2025-10-20,348,58,0.16666666666666666,0.1235632183908046,0.015517241379310348,0.005747126436781616
2025-10-21,348,43,0.1235632183908046,0.13735632183908048,0.013793103448275876,-0.0017241379310344723
2025-10-22,348,57,0.16379310344827586,0.14885057471264368,0.011494252873563204,-0.0022988505747126714
2025-10-23,348,24,0.06896551724137931,0.1327586206896552,-0.01609195402298849,-0.027586206896551696
2025-10-24,348,53,0.15229885057471265,0.1350574712643678,0.002298850574712602,0.018390804597701094
2025-10-27,348,66,0.1896551724137931,0.1396551724137931,0.004597701149425315,0.002298850574712713
2025-10-28,348,54,0.15517241379310345,0.14597701149425285,0.006321839080459746,0.0017241379310344307
2025-10-29,348,39,0.11206896551724138,0.13563218390804596,-0.01034482758620689,-0.016666666666666635
2025-10-30,348,18,0.05172413793103448,0.13218390804597702,-0.0034482758620689447,0.006896551724137945
2025-10-31,348,26,0.07471264367816093,0.11666666666666667,-0.015517241379310348,-0.012068965517241403
2025-11-03,348,40,0.11494252873563218,0.10172413793103448,-0.01494252873563219,0.0005747126436781574
2025-11-04,348,37,0.10632183908045977,0.09195402298850575,-0.009770114942528732,0.005172413793103459
2025-11-05,348,12,0.034482758620689655,0.0764367816091954,-0.015517241379310348,-0.005747126436781616
2025-11-06,348,30,0.08620689655172414,0.08333333333333334,0.006896551724137945,0.022413793103448293
2025-11-07,348,18,0.05172413793103448,0.07873563218390804,-0.004597701149425301,-0.011494252873563246
2025-11-10,348,39,0.11206896551724138,0.07816091954022988,-0.0005747126436781574,0.004022988505747144
2025-11-11,348,25,0.07183908045977011,0.07126436781609195,-0.006896551724137931,-0.0063218390804597735
2025-11-12,348,73,0.20977011494252873,0.10632183908045975,0.0350574712643678,0.04195402298850573
2025-11-13,348,58,0.16666666666666666,0.12241379310344827,0.01609195402298852,-0.01896551724137928
2025-11-14,348,21,0.0603448275862069,0.12413793103448276,0.0017241379310344862,-0.014367816091954033
2025-11-17,348,17,0.04885057471264368,0.11149425287356321,-0.012643678160919547,-0.014367816091954033
2025-11-18,348,7,0.020114942528735632,0.1011494252873563,-0.010344827586206903,0.0022988505747126436
2025-11-19,348,12,0.034482758620689655,0.06609195402298851,-0.0350574712643678,-0.024712643678160895
